isApproved,file_size,docType,modified/upload_date,docName,content,tags,embedding,Area_Rating,Criteria_Completion_Score,Days_Until_Deadline,docID,employeeID,programID
True,164194,application/pdf,2026-03-04,Document_Title_1.pdf,"Final, approved procedure manual with all criteria met. Quality check passed.","{manual,project,compliance,final}","[-0.24,-0.28,-0.31,-0.47,-0.91,-0.08,-0.75,0.84,-0.84,-0.41]",4.1,7,7 days,1,staff-691,2
True,1193384,application/pdf,2026-02-28,Document_Title_2.pdf,Comprehensive safety manual with detailed analysis and clear methodology.,"{manual,audit,legal,governance,quality,final}","[-0.94,-0.37,-0.46,-0.58,0.89,0.75,-0.37,0.31,-0.21,0.83]",3.7,7,Late by 2 days,2,fac-246,3
False,187159,application/pdf,2026-05-18,Curriculum_Guide_3.pdf,Preliminary curriculum guide lacking required documentation and analysis.,"{guide,legal,marketing,hr,curriculum,compliance}","[-0.09,0.91,0.75,-0.47,0.0,-0.64,0.83,0.74,-0.4,0.28]",2.9,8,38 days,3,emp-256,3
False,244112,application/pdf,2026-05-16,Curriculum_Guide_4.pdf,Incomplete curriculum guide requiring significant revisions.,"{guide,marketing,project,quality}","[-0.2,0.34,-0.25,0.8,-0.1,-0.5,-0.87,-0.96,0.11,0.18]",3.2,5,Late by 10 days,4,user-172,1
True,1065877,application/pdf,2026-03-26,Document_Title_5.pdf,Comprehensive faculty handbook with detailed analysis and clear methodology.,"{project,hr,curriculum,governance,final}","[-0.62,-0.1,-0.16,-0.44,-0.5,0.85,-0.11,0.72,0.1,-0.9]",3.6,10,16 days,5,user-195,2
False,166185,application/pdf,2026-02-24,Document_Title_6.pdf,Incomplete curriculum guide requiring significant revisions.,"{guide,hr,safety,quality,draft}","[-0.86,0.72,-0.19,0.88,0.14,0.16,-0.92,-0.84,0.31,0.13]",1.8,3,Late by 1 days,6,staff-367,2
True,145140,application/pdf,2026-03-09,Procedure_Manual_7.pdf,Comprehensive procedure manual with detailed analysis and clear methodology.,"{manual,marketing,legal,governance,curriculum,final}","[-0.73,-0.77,-0.79,0.11,-0.46,0.21,0.44,-0.59,0.27,-0.47]",3.4,8,43 days,7,fac-357,1
False,340120,application/pdf,2026-01-12,Assessment_Report_8.pdf,Draft assessment report with critical errors and missing mandatory attachments.,"{report,hr,compliance}","[-0.58,-0.5,-0.79,0.56,0.77,-0.19,0.24,-0.69,0.86,0.73]",3.6,5,9 days,8,emp-522,1
True,127080,application/pdf,2026-04-16,Document_Title_9.pdf,"Final, approved curriculum guide with all criteria met. Quality check passed.","{guide,project,marketing,governance,final,draft}","[0.93,-0.47,-0.78,-0.13,0.46,-0.37,0.21,0.02,-0.23,0.15]",3.7,7,Late by 4 days,9,staff-145,4
False,452843,application/pdf,2026-05-18,Policy_Manual_10.pdf,Incomplete policy manual requiring significant revisions.,"{manual,project,finance,legal,governance}","[0.16,0.31,-0.07,-0.12,-0.57,-0.05,0.8,0.59,-0.66,-0.83]",2.7,9,43 days,10,staff-195,2
True,124401,application/pdf,2026-02-07,Procedure_Manual_11.pdf,Comprehensive procedure manual with detailed analysis and clear methodology.,"{manual,project,safety,curriculum,final}","[0.6,0.34,0.98,0.19,0.9,0.78,0.23,0.44,0.01,0.66]",5.0,9,16 days,11,fac-262,4
True,598499,application/pdf,2026-06-13,Annual_Report_12.pdf,Comprehensive annual report with detailed analysis and clear methodology.,"{report,hr,finance,safety}","[0.53,-0.24,-0.99,-0.3,0.51,0.71,0.91,-0.16,0.5,0.09]",3.8,10,34 days,12,emp-599,2
True,40217,application/pdf,2026-04-10,Document_Title_13.pdf,Complete student handbook with thorough documentation and evidence.,"{finance,audit,compliance}","[-0.84,-0.96,0.08,1.0,-0.3,0.3,0.56,0.3,0.51,0.9]",4.6,10,44 days,13,emp-959,1
True,91176,application/pdf,2026-05-02,Compliance_Document_14.pdf,Comprehensive compliance document with detailed analysis and clear methodology.,"{project,finance,hr,compliance,curriculum}","[-0.14,-0.26,0.01,-0.32,0.7,0.64,-0.79,0.92,0.27,0.66]",4.9,6,37 days,14,emp-545,2
True,366027,application/pdf,2026-03-11,Safety_Manual_15.pdf,"Final, approved safety manual with all criteria met. Quality check passed.","{manual,audit,final}","[0.4,-0.45,-0.98,0.9,-0.83,0.44,-0.02,0.52,0.38,0.29]",4.4,10,35 days,15,fac-558,1
True,474045,application/pdf,2026-06-27,Assessment_Report_16.pdf,High-quality assessment report demonstrating compliance with standards.,"{report,project,compliance}","[0.96,0.67,-0.41,-0.28,-0.4,0.42,-0.75,-0.91,-0.89,-0.42]",4.5,7,43 days,16,emp-753,4
True,651949,application/pdf,2026-03-14,Document_Title_17.pdf,High-quality assessment report demonstrating compliance with standards.,"{report,audit,project,marketing,governance}","[0.92,-0.8,0.53,0.25,-0.47,-0.84,-0.52,0.1,-0.69,-0.18]",3.9,9,29 days,17,fac-398,1
False,396451,application/pdf,2026-06-29,Faculty_Handbook_18.pdf,Draft version of faculty handbook with formatting issues and missing sections.,"{audit,compliance,safety}","[0.2,0.78,0.47,0.21,-0.95,-0.54,0.35,0.72,0.17,-0.96]",3.4,6,Late by 2 days,18,staff-690,1
False,210789,application/pdf,2026-04-24,Curriculum_Guide_19.pdf,"Curriculum Guide in development stage, missing key components for approval.","{guide,legal,project}","[-1.0,0.74,-0.08,-0.89,0.04,0.25,-0.0,-0.12,-0.9,-0.47]",3.6,4,Late by 3 days,19,emp-394,4
False,40135,application/pdf,2026-06-11,Safety_Manual_20.pdf,"Safety Manual in development stage, missing key components for approval.","{manual,audit,finance,governance,draft,final}","[0.76,0.73,-0.45,0.58,-0.17,0.87,0.02,0.64,-0.43,-0.4]",3.3,6,16 days,20,fac-986,2
False,803777,application/pdf,2026-03-27,Document_Title_21.pdf,Draft version of annual report with formatting issues and missing sections.,"{report,hr,finance,governance,compliance}","[0.82,-0.97,-0.71,0.74,0.94,-0.85,0.56,-0.47,0.25,-0.21]",2.6,7,35 days,21,user-972,3
True,219234,application/pdf,2026-03-23,Document_Title_22.pdf,Well-structured procedure manual meeting all accreditation requirements.,"{manual,legal,project,quality,final}","[-0.84,0.74,0.24,-0.52,0.83,-0.71,-0.08,-0.49,-0.49,-0.98]",3.7,7,32 days,22,fac-394,5
False,662351,application/pdf,2026-05-31,Curriculum_Guide_23.pdf,Incomplete curriculum guide requiring significant revisions.,"{guide,project,audit,legal}","[0.36,0.44,0.32,0.68,0.26,0.81,0.29,-0.38,-0.12,0.16]",2.2,6,28 days,23,emp-192,3
True,219171,application/pdf,2026-02-21,Quality_Plan_24.pdf,"Final, approved quality plan with all criteria met. Quality check passed.","{plan,audit,final,draft}","[0.34,0.17,0.64,0.88,-0.78,-0.53,-0.95,0.77,0.12,0.83]",3.9,10,35 days,24,emp-763,1
False,387566,application/pdf,2026-03-19,Procedure_Manual_25.pdf,Draft version of procedure manual with formatting issues and missing sections.,"{manual,hr,audit,marketing,curriculum,final}","[0.71,-0.8,0.37,0.09,0.96,-0.28,-0.2,-0.62,-0.76,0.7]",2.7,5,8 days,25,fac-193,2
True,31197,application/pdf,2026-01-13,Document_Title_26.pdf,"Final, approved procedure manual with all criteria met. Quality check passed.","{manual,legal,final,draft}","[0.48,0.05,0.49,-0.05,0.56,0.03,-0.78,0.01,0.89,-0.91]",3.7,6,Late by 4 days,26,staff-569,1
False,474228,application/pdf,2026-04-13,Policy_Manual_27.pdf,"Policy Manual in development stage, missing key components for approval.","{manual,project}","[-0.57,-0.1,-0.54,-0.32,-0.09,-0.17,-0.81,-0.15,0.33,-0.25]",2.8,8,7 days,27,emp-803,4
True,979022,application/pdf,2026-01-24,Document_Title_28.pdf,High-quality assessment report demonstrating compliance with standards.,"{report,audit,finance,hr,governance,final}","[-0.14,0.12,0.53,0.24,0.35,0.11,0.22,0.32,0.39,-0.94]",4.1,7,24 days,28,staff-819,3
True,225217,application/pdf,2026-02-06,Document_Title_29.pdf,High-quality quality plan demonstrating compliance with standards.,"{plan,audit,project,governance,final}","[-0.14,-0.43,0.36,-0.03,0.33,-0.91,-0.21,0.2,-0.98,-0.4]",3.4,5,26 days,29,emp-885,2
